Id,Name,Code,CommandCategory_Id,State_Id,LGA_Id,AddedBy_Id,LastUpdatedBy_Id,IsActive,CreatedAtUtc,UpdatedAtUtc,Address,CommandType_Id,ParentCode,ZonalCommand_Id
1,ABIA STATE COMMAND,3-36,3,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE ROAD UMUAHIA,1,3,2121
2,ABIA STATE COMMAND - ABA AREA COMMAND,3-36-1209,4,2,2,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,ABA TOWNSHIP,1,3-36,2121
3,ABIA STATE COMMAND - ABAYI DIVISION,3-36-1219,5,2,17,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,ABAYI,1,3-36,2121
4,ABIA STATE COMMAND - ABIRIBA DIVISION,3-36-1229,5,2,10,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,ABIRIBA,1,3-36,2121
5,ABIA STATE COMMAND - AKWETE AREA COMMAND,3-36-1212,4,2,13,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,AKWETE,1,3-36,2121
6,ABIA STATE COMMAND - AKWUETE DIVISION,3-36-1226,5,2,13,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,AKWUETE,1,3-36,2121
7,ABIA STATE COMMAND - AROCHUKWU DIVISION,3-36-1230,5,2,3,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,IBOM BARRACKS AROCHUKWU,1,3-36,2121
8,ABIA STATE COMMAND - BENDE DIVISION,3-36-1231,5,2,4,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE,1,3-36,2121
9,ABIA STATE COMMAND - CPS ABA DIVISION,3-36-1213,5,2,2,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,ABA TOWNSHIP,1,3-36,2121
10,ABIA STATE COMMAND - CPS UMUAHIA DIVISION,3-36-1227,5,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,UZUAKOLI ROAD,1,3-36,2121
11,ABIA STATE COMMAND - CRIMINAL INVESTIGATION DEPARTMENT,3-36-1784,4,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,UZUAKOLI ROAD UMUAHIA,1,3-36,2121
12,ABIA STATE COMMAND - DEPARTMENT OF FINANCE AND ADMINISTRATION,3-36-1781,4,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE ROAD UMUAHIA,1,3-36,2121
13,ABIA STATE COMMAND - DEPARTMENT OF INFO AND COMM TECH,3-36-1786,4,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE ROAD UMUAHIA,1,3-36,2121
14,ABIA STATE COMMAND - DEPARTMENT OF LOGISTICS AND SUPPLY,3-36-1783,4,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE ROAD UMUAHIA,1,3-36,2121
15,ABIA STATE COMMAND - DEPARTMENT OF OPERATIONS,3-36-1782,4,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE ROAD UMUAHIA,1,3-36,2121
16,ABIA STATE COMMAND - DEPARTMENT OF RESEARCH AND PLANNING,3-36-1785,4,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,BENDE ROAD UMUAHIA,1,3-36,2121
17,ABIA STATE COMMAND - EASTERN NGWA DIVISION,3-36-1241,5,2,9,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,UMUOBIAKWA,1,3-36,2121
18,ABIA STATE COMMAND - EZIAMA DIVISION,3-36-1225,5,2,1,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,EZIAMA ABA,1,3-36,2121
19,ABIA STATE COMMAND - IKWUANO DIVISION,3-36-1240,5,2,5,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,OLORI,1,3-36,2121
20,ABIA STATE COMMAND - ISIALA NGWA AREA COMMAND,3-36-2164,4,2,12,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,OKPUALA NGWA,1,3-36,2121
21,ABIA STATE COMMAND - ISIALA NGWA NORTH DIVISION,3-36-1216,5,2,12,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,OKPUALA NGWA,1,3-36,2121
22,ABIA STATE COMMAND - ISIALA NGWA SOUTH DIVISION,3-36-1221,5,2,13,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,ISIALA NGWA SOUTH,1,3-36,2121
23,ABIA STATE COMMAND - ISUIKWATO AREA COMMAND,3-36-2163,4,2,14,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,MBALANO,1,3-36,2121
24,ABIA STATE COMMAND - ISUKWUATO DIVISION,3-36-1235,5,2,14,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,MBALANO,1,3-36,2121
25,ABIA STATE COMMAND - ISUOCHI DIVISION,3-36-1228,5,2,24,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,NKWO AGU ISUOCHI,1,3-36,2121
26,ABIA STATE COMMAND - MBALA DIVISION,3-36-1243,5,2,14,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.550,MBALA ISUOCHI,1,3-36,2121
27,ABIA STATE COMMAND - MIKE OKIRO DIVISION,3-36-2166,5,2,15,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,UZUAKOLI ROAD UMUAHIA,1,3-36,2121
28,ABIA STATE COMMAND - NDIEGORO DIVISION,3-36-1223,5,2,2,2,2,1,2022-02-01 14:42:09.000,2022-02-01 14:42:10.613,CAMEROON ROAD ABA,1,3-36,2121
